date,bases,open_access_bases,bytes,open_access_bytes
08/07/2009,6.51463E+12,6.51463E+12,3.20419E+13,3.20419E+13
08/11/2009,6.71966E+12,6.71966E+12,3.25792E+13,3.25792E+13
08/12/2009,6.82138E+12,6.82138E+12,3.2805E+13,3.2805E+13
08/14/2009,6.85409E+12,6.85409E+12,3.28393E+13,3.28393E+13
08/17/2009,6.86014E+12,6.86014E+12,3.28519E+13,3.28519E+13
08/18/2009,6.87369E+12,6.87369E+12,3.28928E+13,3.28928E+13
08/19/2009,6.87615E+12,6.87615E+12,3.28985E+13,3.28985E+13
08/20/2009,6.87749E+12,6.87749E+12,3.2901E+13,3.2901E+13
08/21/2009,6.88737E+12,6.88737E+12,3.29425E+13,3.29425E+13
08/22/2009,6.90345E+12,6.90345E+12,3.29878E+13,3.29878E+13
08/24/2009,6.90737E+12,6.90737E+12,3.29923E+13,3.29923E+13
08/25/2009,6.91789E+12,6.91789E+12,3.30136E+13,3.30136E+13
08/26/2009,6.92859E+12,6.92859E+12,3.30446E+13,3.30446E+13
08/27/2009,6.92864E+12,6.92864E+12,3.30447E+13,3.30447E+13
08/28/2009,6.95191E+12,6.95191E+12,3.3192E+13,3.3192E+13
08/31/2009,7.06048E+12,7.06048E+12,3.33146E+13,3.33146E+13
09/01/2009,7.34518E+12,7.16771E+12,3.36327E+13,3.34333E+13
09/02/2009,7.48385E+12,7.30638E+12,3.38245E+13,3.36251E+13
09/03/2009,7.48385E+12,7.30638E+12,3.38245E+13,3.36251E+13
09/04/2009,7.48484E+12,7.30737E+12,3.38268E+13,3.36274E+13
09/05/2009,7.59649E+12,7.41865E+12,3.39478E+13,3.3748E+13
09/06/2009,7.75697E+12,7.57902E+12,3.41795E+13,3.39796E+13
09/07/2009,7.97366E+12,7.79304E+12,3.45543E+13,3.43515E+13
09/08/2009,7.98889E+12,7.80826E+12,3.45703E+13,3.43676E+13
09/09/2009,8.00635E+12,7.82572E+12,3.45921E+13,3.43894E+13
09/10/2009,8.00657E+12,7.82595E+12,3.45924E+13,3.43896E+13
09/11/2009,8.02803E+12,7.8474E+12,3.46197E+13,3.4417E+13
09/12/2009,8.02886E+12,7.84824E+12,3.46206E+13,3.44179E+13
09/14/2009,8.05677E+12,7.87615E+12,3.46499E+13,3.44472E+13
09/15/2009,8.38099E+12,8.20037E+12,3.50889E+13,3.48861E+13
09/16/2009,8.58422E+12,8.27745E+12,3.5337E+13,3.50014E+13
09/17/2009,8.66314E+12,8.33726E+12,3.54394E+13,3.50839E+13
09/18/2009,8.69077E+12,8.36489E+12,3.54726E+13,3.51171E+13
09/19/2009,8.69724E+12,8.37136E+12,3.54818E+13,3.51263E+13
09/20/2009,8.70386E+12,8.37798E+12,3.54892E+13,3.51338E+13
09/21/2009,8.76448E+12,8.4386E+12,3.55955E+13,3.524E+13
09/22/2009,8.76947E+12,8.44359E+12,3.56109E+13,3.52554E+13
09/23/2009,8.90517E+12,8.57929E+12,3.57909E+13,3.54354E+13
09/24/2009,8.9518E+12,8.60978E+12,3.60447E+13,3.56725E+13
09/25/2009,8.9623E+12,8.62028E+12,3.60559E+13,3.56836E+13
09/26/2009,8.9801E+12,8.63808E+12,3.60742E+13,3.57019E+13
09/27/2009,9.01101E+12,8.669E+12,3.61067E+13,3.57345E+13
09/28/2009,9.01107E+12,8.66905E+12,3.61068E+13,3.57346E+13
09/29/2009,9.01594E+12,8.67299E+12,3.61122E+13,3.5739E+13
09/30/2009,9.01596E+12,8.67301E+12,3.61122E+13,3.5739E+13
10/01/2009,9.02008E+12,8.67713E+12,3.61178E+13,3.57446E+13
10/02/2009,9.03233E+12,8.68938E+12,3.61308E+13,3.57577E+13
10/04/2009,9.03306E+12,8.69011E+12,3.61316E+13,3.57584E+13
10/05/2009,9.03723E+12,8.69428E+12,3.61386E+13,3.57654E+13
10/06/2009,9.04268E+12,8.69973E+12,3.61456E+13,3.57724E+13
10/07/2009,9.14533E+12,8.80238E+12,3.6253E+13,3.58798E+13
10/08/2009,9.15447E+12,8.81152E+12,3.62639E+13,3.58907E+13
10/09/2009,9.15476E+12,8.81181E+12,3.62643E+13,3.58911E+13
10/11/2009,9.15586E+12,8.81291E+12,3.62654E+13,3.58922E+13
10/12/2009,9.15767E+12,8.81471E+12,3.62695E+13,3.58963E+13
10/13/2009,9.58442E+12,9.24147E+12,3.67662E+13,3.6393E+13
10/14/2009,9.58537E+12,9.24242E+12,3.67702E+13,3.6397E+13
10/15/2009,9.63127E+12,9.28832E+12,3.69347E+13,3.65615E+13
10/16/2009,9.65374E+12,9.31079E+12,3.70096E+13,3.66364E+13
10/17/2009,9.65389E+12,9.31094E+12,3.70098E+13,3.66366E+13
10/18/2009,9.65542E+12,9.31247E+12,3.70124E+13,3.66392E+13
10/19/2009,9.66154E+12,9.31859E+12,3.70589E+13,3.66857E+13
10/20/2009,9.66238E+12,9.31943E+12,3.70607E+13,3.66875E+13
10/21/2009,9.66809E+12,9.32513E+12,3.70679E+13,3.66947E+13
10/22/2009,9.67187E+12,9.32892E+12,3.70765E+13,3.67033E+13
10/23/2009,9.6736E+12,9.33065E+12,3.70794E+13,3.67062E+13
10/24/2009,9.67429E+12,9.33133E+12,3.70811E+13,3.67079E+13
10/26/2009,9.67654E+12,9.33359E+12,3.70884E+13,3.67152E+13
10/27/2009,9.69041E+12,9.34746E+12,3.71753E+13,3.68021E+13
10/28/2009,9.70185E+12,9.3589E+12,3.719E+13,3.68168E+13
10/29/2009,9.7114E+12,9.36845E+12,3.72066E+13,3.68334E+13
10/30/2009,9.71506E+12,9.37211E+12,3.72111E+13,3.68379E+13
10/31/2009,9.71514E+12,9.37219E+12,3.72113E+13,3.68381E+13
11/02/2009,9.73509E+12,9.39213E+12,3.72399E+13,3.68667E+13
11/03/2009,9.75174E+12,9.40879E+12,3.72638E+13,3.68906E+13
11/04/2009,9.75606E+12,9.41311E+12,3.72717E+13,3.68985E+13
11/05/2009,9.75921E+12,9.41626E+12,3.72755E+13,3.69023E+13
11/06/2009,9.75979E+12,9.41684E+12,3.72784E+13,3.69052E+13
11/09/2009,9.76001E+12,9.41706E+12,3.72789E+13,3.69057E+13
11/10/2009,9.77187E+12,9.42892E+12,3.73293E+13,3.69561E+13
11/12/2009,9.77189E+12,9.42894E+12,3.73293E+13,3.69562E+13
11/13/2009,9.77267E+12,9.42972E+12,3.73308E+13,3.69576E+13
11/15/2009,9.78369E+12,9.44073E+12,3.73422E+13,3.6969E+13
11/16/2009,9.87837E+12,9.53542E+12,3.74473E+13,3.70741E+13
11/17/2009,1.00657E+13,9.72273E+12,3.76406E+13,3.72674E+13
11/18/2009,1.01607E+13,9.81771E+12,3.77478E+13,3.73746E+13
11/19/2009,1.02924E+13,9.94948E+12,3.78886E+13,3.75154E+13
11/20/2009,1.03826E+13,1.00397E+13,3.79826E+13,3.76094E+13
11/21/2009,1.03896E+13,1.00466E+13,3.79907E+13,3.76175E+13
11/22/2009,1.04377E+13,1.00947E+13,3.80405E+13,3.76673E+13
11/23/2009,1.04429E+13,1.00999E+13,3.80463E+13,3.76731E+13
11/24/2009,1.05105E+13,1.01676E+13,3.81219E+13,3.77487E+13
11/25/2009,1.05227E+13,1.01798E+13,3.81471E+13,3.77739E+13
11/26/2009,1.0527E+13,1.0184E+13,3.81518E+13,3.77786E+13
11/27/2009,1.0654E+13,1.03111E+13,3.82892E+13,3.7916E+13
11/28/2009,1.07254E+13,1.03824E+13,3.84921E+13,3.81189E+13
11/30/2009,1.07518E+13,1.04089E+13,3.85566E+13,3.81834E+13
12/01/2009,1.08406E+13,1.04977E+13,3.87492E+13,3.8376E+13
